id,prop,spf,name
436,0.2,0.08,ITS-90574_surface.grd
437,0.2,0.08,ITS-90682_surface.grd
438,0.2,0.08,ITS-90683_surface.grd
439,0.2,0.08,ITS-95916_surface.grd
440,0.2,0.08,ITS-96042_surface.grd
441,0.2,0.08,ITS-96215_surface.grd
442,0.2,0.08,ITS-96390_surface.grd
443,0.2,0.08,ITS-96391_surface.grd
444,0.2,0.08,ITS-96451_surface.grd
445,0.2,0.08,ITS-96466_surface.grd
446,0.2,0.08,ITS-96478_surface.grd
447,0.2,0.08,ITS-96527_surface.grd
448,0.2,0.08,ITS-96545_surface.grd
449,0.2,0.08,ITS-96901_surface.grd
450,0.2,0.08,ITS-97118_surface.grd
451,0.2,0.08,ITS-97188_surface.grd
452,0.2,0.08,ITS-97315_surface.grd
453,0.2,0.08,ITS-97657_surface.grd
454,0.2,0.08,ITS-97666_surface.grd
455,0.2,0.08,ITS-97680_surface.grd
456,0.2,0.08,ITS-97973_surface.grd
457,0.2,0.08,ITS-99152_surface.grd
458,0.2,0.08,ITS-993391_surface.grd
459,0.2,0.08,ITS-995_surface.grd
460,0.2,0.08,ITS-Mam-180473_surface.grd
461,0.2,0.08,ITS-Mam-621916_surface.grd
462,0.2,0.08,PBD-224562_surface.grd
463,0.2,0.08,Rep-1347_surface.grd
464,0.2,0.08,Rep-2226_surface.grd
465,0.2,0.08,Rep-3932_surface.grd
466,0.2,0.08,Rep-4127_surface.grd
467,0.2,0.08,Rep-470_surface.grd
468,0.2,0.08,Rep-5011_surface.grd
469,0.2,0.08,Rep-5035_surface.grd
470,0.2,0.08,Rep-5044_surface.grd
471,0.2,0.08,Rep-5413_surface.grd
472,0.2,0.08,Rep-5414_surface.grd
473,0.2,0.08,SLB-10555_surface.grd
474,0.2,0.08,SLB-108999_surface.grd
475,0.2,0.08,SLB-113180_surface.grd
476,0.2,0.08,SLB-113750_surface.grd
477,0.2,0.08,SLB-117996_surface.grd
478,0.2,0.08,SLB-118747_surface.grd
479,0.2,0.08,SLB-120078_surface.grd
480,0.2,0.08,SLB-129647_surface.grd
481,0.2,0.08,SLB-131155_surface.grd
482,0.2,0.08,SLB-131248_surface.grd
483,0.2,0.08,SLB-131255_surface.grd
484,0.2,0.08,SLB-131474_surface.grd
485,0.2,0.08,SLB-131526_surface.grd
486,0.2,0.08,SLB-131534_surface.grd
487,0.2,0.08,SLB-131726_surface.grd
488,0.2,0.08,SLB-131835_surface.grd
489,0.2,0.08,SLB-131936_surface.grd
490,0.2,0.08,SLB-132152_surface.grd
491,0.2,0.08,SLB-132492_surface.grd
492,0.2,0.08,SLB-132510_surface.grd
493,0.2,0.08,SLB-132528_surface.grd
494,0.2,0.08,SLB-132721_surface.grd
495,0.2,0.08,SLB-132722_surface.grd
496,0.2,0.08,SLB-132727_surface.grd
497,0.2,0.08,SLB-132731_surface.grd
498,0.2,0.08,SLB-132739_surface.grd
499,0.2,0.08,SLB-132743_surface.grd
500,0.2,0.08,SLB-132863_surface.grd
501,0.2,0.08,SLB-132865_surface.grd
502,0.2,0.08,SLB-132966_surface.grd
503,0.2,0.08,SLB-133001_surface.grd
504,0.2,0.08,SLB-133077_surface.grd
505,0.2,0.08,SLB-133106_surface.grd
506,0.2,0.08,SLB-133111_surface.grd
507,0.2,0.08,SLB-133119_surface.grd
508,0.2,0.08,SLB-133288_surface.grd
509,0.2,0.08,SLB-133573_surface.grd
510,0.2,0.08,SLB-133636_surface.grd
511,0.2,0.08,SLB-134854_surface.grd
512,0.2,0.08,SLB-134962_surface.grd
513,0.2,0.08,SLB-135613_surface.grd
514,0.2,0.08,SLB-138599_surface.grd
515,0.2,0.08,SLB-140155_surface.grd
516,0.2,0.08,SLB-140653_surface.grd
517,0.2,0.08,SLB-140804_surface.grd
518,0.2,0.08,SLB-141293_surface.grd
519,0.2,0.08,SLB-142743_surface.grd
520,0.2,0.08,SLB-143238_surface.grd
521,0.2,0.08,SLB-143769_surface.grd
522,0.2,0.08,SLB-143921_surface.grd
523,0.2,0.08,SLB-145190_surface.grd
524,0.2,0.08,SLB-145332_surface.grd
525,0.2,0.08,SLB-145429_surface.grd
526,0.2,0.08,SLB-145713_surface.grd
527,0.2,0.08,SLB-146066_surface.grd
528,0.2,0.08,SLB-146254_surface.grd
529,0.2,0.08,SLB-147220_surface.grd
530,0.2,0.08,SLB-147286_surface.grd
531,0.2,0.08,SLB-147641_surface.grd
532,0.2,0.08,SLB-152083_surface.grd
533,0.2,0.08,SLB-152084_surface.grd
534,0.2,0.08,SLB-152255_surface.grd
535,0.2,0.08,SLB-153360_surface.grd
536,0.2,0.08,SLB-154005_surface.grd
537,0.2,0.08,SLB-154621_surface.grd
538,0.2,0.08,SLB-154626_surface.grd
539,0.2,0.08,SLB-154920_surface.grd
540,0.2,0.08,SLB-156488_surface.grd
541,0.2,0.08,SLB-156515_surface.grd
542,0.2,0.08,SLB-158322_surface.grd
543,0.2,0.08,SLB-170926_surface.grd
544,0.2,0.08,SLB-171947_surface.grd
545,0.2,0.08,SLB-172139_surface.grd
546,0.2,0.08,SLB-172186_surface.grd
547,0.2,0.08,SLB-172544_surface.grd
548,0.2,0.08,SLB-172547_surface.grd
549,0.2,0.08,SLB-174025_surface.grd
550,0.2,0.08,SLB-174058_surface.grd
551,0.2,0.08,SLB-174268_surface.grd
552,0.2,0.08,SLB-174269_surface.grd
553,0.2,0.08,SLB-174308_surface.grd
554,0.2,0.08,SLB-174314_surface.grd
555,0.2,0.08,SLB-174316_surface.grd
556,0.2,0.08,SLB-174332_surface.grd
557,0.2,0.08,SLB-184619_surface.grd
558,0.2,0.08,SLB-188206_surface.grd
559,0.2,0.08,SLB-196738_surface.grd
560,0.2,0.08,SLB-2031_surface.grd
561,0.2,0.08,SLB-2084_surface.grd
562,0.2,0.08,SLB-2108_surface.grd
563,0.2,0.08,SLB-2116_surface.grd
564,0.2,0.08,SLB-23550_surface.grd
565,0.2,0.08,SLB-2396_surface.grd
566,0.2,0.08,SLB-24240_surface.grd
567,0.2,0.08,SLB-2637_surface.grd
568,0.2,0.08,SLB-2763_surface.grd
569,0.2,0.08,SLB-3401_surface.grd
570,0.2,0.08,SLB-3419_surface.grd
571,0.2,0.08,SLB-3428_surface.grd
572,0.2,0.08,SLB-3659_surface.grd
573,0.2,0.08,SLB-36694_surface.grd
574,0.2,0.08,SLB-36696_surface.grd
575,0.2,0.08,SLB-36698_surface.grd
